u,v,X,Y,Z
546939.426757812,52666.875488281,5971.000000000,-18468.000000000,76199.000000000
699505.014404297,65094.307373047,14846.000000000,-17952.000000000,77239.000000000
104533.648681641,83170.840820312,-17970.000000000,-15544.000000000,71963.000000000
252959.532226562,131004.195556641,-10289.000000000,-13352.000000000,72449.000000000
389508.158447266,166250.943847656,-2928.000000000,-11683.000000000,73046.000000000
529139.854736328,194143.461425781,4780.000000000,-10320.000000000,73766.000000000
678965.964355469,210129.779296875,13066.000000000,-9440.000000000,73841.000000000
71932.624755859,219808.201416016,-19039.000000000,-8268.000000000,69775.000000000
861967.548339844,223985.808349609,23475.000000000,-8803.000000000,75610.000000000
225184.072509766,264031.109130859,-11392.000000000,-6202.000000000,70264.000000000
366395.704589844,299981.444335938,-4031.000000000,-4448.000000000,70711.000000000
508063.561523438,322416.261962891,3418.000000000,-3277.000000000,70225.000000000
660149.917724609,344191.793212891,11378.000000000,-2165.000000000,69925.000000000
22968.819824219,356581.352050781,-20479.000000000,-1423.000000000,66907.000000000
852739.506347656,384181.944335938,21613.000000000,-149.000000000,71411.000000000
188170.873046875,398029.443359375,-12727.000000000,531.000000000,67379.000000000
336430.269775391,431153.424072266,-5302.000000000,2128.000000000,67343.000000000
486768.409912109,464338.509765625,2227.000000000,3729.000000000,67271.000000000
652746.809082031,507992.776611328,10567.000000000,5845.000000000,67763.000000000
848980.386474609,544757.405761719,19938.000000000,7438.000000000,67084.000000000
301315.933837891,634435.919189453,-6913.000000000,11742.000000000,67375.000000000
473684.675292969,693126.573974609,1581.000000000,14679.000000000,68200.000000000
